Comparison,AUC (XGBoost),AUC (Logistic Regression),Z-statistic,P-value,Significant,AUC (Random Forest),AUC (LightGBM),AUC (MLP)
XGBoost vs Logistic Regression,0.9262689620151769,0.8848475529076879,4.46546218842179,7.989608262093384e-06,Yes,,,
XGBoost vs Random Forest,0.9262689620151769,,0.9385041300204553,0.347985395517487,No,0.9183086704954261,,
XGBoost vs LightGBM,0.9262689620151769,,0.5077951173142211,0.6115970343669517,No,,0.9220384926226051,
XGBoost vs MLP,0.9262689620151769,,4.0543260784320525,5.0279041737155694e-05,Yes,,,0.8872613879372618
